Dorothy Carole Osborne    3081 
  79 30 5 2 0 0 2 9     0  -999 0
Lucinda Jackson           3261 
  79 33 1 2 1 3 3 0  9840   974 5
Anita Pulaski             3390 
  79 45 5 2 1 3 3 1 12328  2578 5
Reuben D. Cross           4381 
  74 49 1 1 1 1 1 0 19240  2665 1
Peter D. Gamino           5402 
  67 39 5 1 5 2 2 0 25837  2438 2
Theresa P. Olden          5931 
  76 31 1 2 0 0 3 9     0  -999 0
Calvin King               6159 
  79 29 1 1 0 0 3 9     0  -999 0
Sean D. McGillicuddy      6241 
  79 28 5 1 5 2 2 1  9760  1267 5
Brian M. Curtis           6351 
  72 64 5 1 1 1 1 0 10241   862 9
Jerri D. Mategrano        6581 
  79 29 5 2 1 2 2 0 16016  1716 2
Maria Provenza            6871 
  79 22 4 2 5 4 4 1 10780  1550 5
Billy J. Lyle             7241 
  80 54 1 1 1 1 1 1 17111  1901 7
Karen McAndrews           7911 
  79 42 5 2 0 0 3 9     0  -999 0
Stephen S. Brown          8851 
  77 48 5 1 0 0 1 9     0  -999 0
Guy J. LaVelle           10471 
  76 26 1 1 1 3 3 1 21060  5460 3
Jean D. Weiss            10852 
  78 47 5 2 1 3 3 0 16601  2301 5
Cleveland Smith          10891 
  79 24 1 1 5 4 4 1 14309  3259 3
Monica C. Rivers         11001 
  70 49 5 2 5 4 4 1 26182  4732 1
Linus Guric              11031 
  79 34 5 1 0 0 2 9     0  -999 0
Bernard K. Golden        12330 
  80 36 5 1 1 1 1 0 35750  4550 1
Della D. Miller          12440 
  80 26 1 2 1 3 3 1  9777  1392 5
M. Elliot Kraft          13480 
  79 27 5 1 0 0 4 9     0  -999 0
Helen K. Washington      16351 
  75 27 1 2 1 1 1 0 16120  2340 5
Regina K. Newton         16512 
  73 38 1 2 1 1 1 0 12558  1508 5
Rebecca K. Cohen         16801 
  69 39 5 2 1 1 1 0 24784    85 1
Cynthia Riley            17412 
  76 35 5 2 5 4 4 0 16900  2210 5
Charles P. Black         20191 
  81 30 1 1 1 1 1 0 13910     0 7
Linda Iverson            20271 
  72 60 5 2 5 4 4 1 25577  4128 1
LaDonna Akers            20322 
  79 26 1 2 0 0 3 9     0  -999 0
Silvia Kudirka           21802 
  68 59 5 2 5 4 4 1 25577  3868 1
Polly E. Chan            23811 
  80 29 3 2 5 4 4 0 11240  1490 5
Nick Kozak               24341 
  78 26 5 1 1 3 3 1 11440  1573 5
Amanda Howell            24450 
  76 35 1 2 1 2 2 1 12566  1613 5
Geraldine K. Jordan      26001 
  69 42 1 2 1 1 1 0 17108  1898 5
Beth D. Goodall          27402 
  59 69 5 2 0 0 1 9     0  -999 0
Aristotle M. Geocaris    28461 
  79 30 5 1 1 2 2 0 31200  5850 2
Leonard D. Cunningham    29231 
  78 33 5 1 1 3 2 0 48100  8125 1
Pamela Simon             29852 
  79 35 5 2 1 3 3 1 19500  3250 5
Soo Lin Ho               30542 
  80 23 3 1 0 0 2 9     0  -999 0
Kathleen Rooney          32512 
  79 27 5 2 5 4 4 0 14007  1787 5
Ping Huffman             32791 
  75 51 3 2 1 1 1 1 32500  5200 2
Paulette Ho              34651 
  79 38 3 2 1 2 2 0 17179  2165 3
John C. Holcomb          35141 
  78 33 5 1 1 1 1 0 26000  3250 1
Jennifer K. Logan        35461 
  79 29 5 2 1 2 2 9 15210  -999 1
Paul Harman              35601 
  48 61 5 1 1 3 3 0 50700  2925 1
Marci Syms               36351 
  78 38 1 2 5 4 4 0 13097  1658 5
Pierre LeClair           37121 
  78 27 1 1 1 2 2 0 11700     0 5
Andrea Smith             39691 
  79 36 1 2 1 3 3 0  9652  1073 5
Elena Lopez              40331 
  79 23 4 2 5 4 4 0 10122   632 5
Ruby Blair               41481 
  76 35 1 2 1 1 1 0 17810  2210 3
